132,春宵苦短，少女前进吧！,1话 , 2017年4月7日 , 湯浅政明 、 森見登美彦（角川文庫刊） 、,8.1,1768人
133,银魂°,51话 , 2015年4月8日 ,,8.1,1601人
135,排球少年,25话 , 2014年4月6日 , 古舘春一 、,8.1,2441人
136,白兔糖,11话 , 2011年7月7日 , 宇仁田ゆみ 、,8.1,4805人
137,监狱兔 第一季,13话 , 2006年 , 富岡聡 、 富岡聡、宮崎あぐり 、 宮崎あぐり 、,8.1,2144人
138,天元突破红莲螺岩 螺岩篇,1话 , 2009年4月25日 , 今石洋之 、 GAINAX・中島かずき 、 錦織敦史 、,8.1,1381人
140,怪诞小镇 第二季,20话 , 2014年8月1日 , John Aoshima 、 Aaron Springer 、 Joe Pitt 、,8.3,178人
141,续 夏目友人帐,13话 , 2009年1月5日 , 大森貴弘 、 緑川ゆき 、 髙田晃 、,8.1,4044人
142,AIR,13话 , 2005年1月6日 , 石原立也 、 Key、Visual Art's 、 荒谷朋恵 、,8.1,5389人
143,夏目友人帐,13话 , 2008年7月7日 , 大森貴弘 、 緑川ゆき 、,8.1,5377人
144,寒蝉鸣泣之时 解,24话 , 2007年7月5日 , 今千秋 、 竜騎士07 、 07th Expansion 、,8.1,4310人
145,悠久之翼2,12话 , 2008年10月6日 , 大沼心 、 minori、鏡遊、御影 、 杉山延寛 、,8.1,2540人
146,攻壳机动队 笑面男,1话 , 2005年10月23日 ,,8.2,515人
147,小马驹G4 第二季,26话 , 2011年9月17日 ,,8.3,172人
148,龙与虎,25话 , 2008年10月1日 , 長井龍雪 、 竹宮ゆゆこ（アスキー・メディアワークス／電撃文庫） 、,8.1,7927人
149,攻壳机动队 S.A.C. SSS 3D,,2011年3月26日 ,,8.2,475人
150,超时空要塞 可曾记得爱,1话 , 1984年7月21日 , 石黒昇、河森正治 、 スタジオぬえ 、 美樹本晴彦 、,8.1,808人
151,吹响！悠风号,14话 , 2015年4月7日 ,,8.1,4754人
152,海马,12话 , 2008年4月10日 , 湯浅政明 、 湯浅政明 、 伊東伸高 、,8.1,806人
153,狮子王,1话 , 1994年6月15日, 、 罗杰·阿勒斯 、 罗伯·明可夫 、,8.1,1438人
154,小马驹G4 第一季,26话 , 2010年10月10日 ,,8.3,258人
155,黑客帝国动画版,9话 , 2003年6月3日 ,,8.1,869人
156,山水情,,1988-03-21 , 特伟、马克宣 、 吴山明 、,8.3,225人
157,欢迎加入NHK！,24话 , 2006年7月9日 , 山本裕介 、 大岩ケンヂ 、 右凑具央、吉田隆彦 、,8.1,2730人
158,搞笑漫画日和,12话 , 2005年2月7日 , 大地丙太郎 、 増田こうすけ（集英社 「月刊少年JUMP」连载） 、,8.1,3364人
159,你的名字。,1话 , 2016年8月26日 , 新海誠 、 田中将賀 、,8.1,5649人
160,夏目友人帐 肆,13话 , 2012年1月2日 , 大森貴弘 、 緑川ゆき 、 髙田晃 、,8.1,3161人
161,攻壳机动队 个别的十一人,1话 , 2006年1月27日 ,,8.2,480人
162,心灵游戏,1话 , 2004年8月7日 , ロビン西 、,8.1,654人
163,狼的孩子雨和雪,1话 , 2012年7月21日 , 細田守 、 細田守 、 貞本義行 、,8.1,3104人
164,装甲骑兵VOTOMS,52话 , 1983年4月1日 , 高橋良輔 、 高橋良輔 、 塩山紀生 、,8.3,187人
165,老人与海,,1999年7月3日 , Александр Константинович Петров 、 Ernest Miller Hemingway 、,8.2,287人
166,百变之星 不死鸟传说 ～蕾拉・汉密尔顿物语～,1话 , 2006年1月27日 ,,8.2,278人
167,吊带袜天使,13话 , 2010年10月1日 , 今石洋之 、 GAINAX 、 錦織敦史 、,8.1,3844人
168,夏日大作战,1话 , 2009年8月1日 , 細田守 、 細田守 、 貞本義行 、,8.1,5496人
